辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形),語彙素ID
,B,　,　,,空白,,,,,記号,　,,23
,I,私,私-代名詞,ワタクシ,代名詞,,,ワタクシ,ワタクシ,和,私,ワタクシ,41274
,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,日本,日本,ニッポン,名詞-固有名詞-地名-国,,,ニッポン,ニッポン,固,日本,ニッポン,28455
,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
,I,日本,日本,ニッポン,名詞-固有名詞-地名-国,,,ニッポン,ニッポン,固,日本,ニッポン,28455
,I,人,人,ジン,接尾辞-名詞的-一般,,,ジン,ジン,漢,人,ジン,18765
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,底力,底力,ソコヂカラ,名詞-普通名詞-一般,,,ソコジカラ,ソコヂカラ,和,底力,ソコヂカラ,21280
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,信じ,信ずる,シンズル,動詞-一般,サ行変格,連用形-一般,シンジ,シンジ,混,信ずる,シンズル,17410
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,やま,止む,ヤム,動詞-一般,五段-マ行,未然形-一般,ヤマ,ヤマ,和,やむ,ヤム,38507
,I,ない,ない,ナイ,助動詞,助動詞-ナイ,連体形-一般,ナイ,ナイ,和,ない,ナイ,27438
,I,者,者,モノ,名詞-普通名詞-一般,,,モノ,モノ,和,者,モノ,37877
,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
,I,し,為る,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,日本,日本,ニッポン,名詞-固有名詞-地名-国,,,ニッポン,ニッポン,固,日本,ニッポン,28455
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,未来,未来,ミライ,名詞-普通名詞-一般,,,ミライ,ミライ,漢,未来,ミライ,36904
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,切り拓く,切り開く,キリヒラク,動詞-一般,五段-カ行,連体形-一般,キリヒラク,キリヒラク,和,切り拓く,キリヒラク,9536
,I,責任,責任,セキニン,名詞-普通名詞-一般,,,セキニン,セキニン,漢,責任,セキニン,20101
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,担い,担う,ニナウ,動詞-一般,五段-ワア行,連用形-一般,ニナイ,ニナイ,和,担う,ニナウ,28467
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,この,此の,コノ,連体詞,,,コノ,コノ,和,この,コノ,12905
,I,場,場,バ,名詞-普通名詞-一般,,,バ,バ,和,場,バ,30506
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,立っ,立つ,タツ,動詞-一般,五段-タ行,連用形-促音便,タッ,タッ,和,立つ,タツ,22436
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,おり,居る,オル,動詞-非自立可能,五段-ラ行,連用形-一般,オリ,オリ,和,おる,オル,5360
,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス,35697
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,B,　,　,,空白,,,,,記号,　,,23
,I,今,今,イマ,名詞-普通名詞-副詞可能,,,イマ,イマ,和,今,イマ,2460
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,暮らし,暮らし,クラシ,名詞-普通名詞-一般,,,クラシ,クラシ,和,暮らし,クラシ,10426
,I,や,や,ヤ,助詞-副助詞,,,ヤ,ヤ,和,や,ヤ,38083
,I,未来,未来,ミライ,名詞-普通名詞-一般,,,ミライ,ミライ,漢,未来,ミライ,36904
,I,へ,へ,ヘ,助詞-格助詞,,,エ,ヘ,和,へ,ヘ,33819
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,不安,不安,フアン,名詞-普通名詞-形状詞可能,,,フアン,フアン,漢,不安,フアン,32348
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,希望,希望,キボウ,名詞-普通名詞-サ変可能,,,キボー,キボウ,漢,希望,キボウ,8811
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,変え,変える,カエル,動詞-一般,下一段-ア行,連用形-一般,カエ,カエ,和,変える,カエル,5977
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,強い,強い,ツヨイ,形容詞-一般,形容詞,連体形-一般,ツヨイ,ツヨイ,和,強い,ツヨイ,24791
,I,経済,経済,ケイザイ,名詞-普通名詞-一般,,,ケーザイ,ケイザイ,漢,経済,ケイザイ,10945
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,作る,作る,ツクル,動詞-一般,五段-ラ行,終止形-一般,ツクル,ツクル,和,作る,ツクル,24562
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,I,そして,そして,ソシテ,接続詞,,,ソシテ,ソシテ,和,そして,ソシテ,21297
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,日本,日本,ニッポン,名詞-固有名詞-地名-国,,,ニッポン,ニッポン,固,日本,ニッポン,28455
,I,列島,列島,レットウ,名詞-普通名詞-一般,,,レットー,レットウ,漢,列島,レットウ,40708
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,強く,強い,ツヨイ,形容詞-一般,形容詞,連用形-一般,ツヨク,ツヨク,和,強い,ツヨイ,24791
,I,豊か,豊か,ユタカ,形状詞-一般,,,ユタカ,ユタカ,和,豊か,ユタカ,38846
,I,に,だ,ダ,助動詞,助動詞-ダ,連用形-ニ,ニ,ニ,和,だ,ダ,22916
,I,し,為る,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,いく,行く,イク,動詞-非自立可能,五段-カ行,終止形-一般,イク,イク,和,いく,イク,1713
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,I,世界,世界,セカイ,名詞-普通名詞-一般,,,セカイ,セカイ,漢,世界,セカイ,20054
,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
,I,直面,直面,チョクメン,名詞-普通名詞-サ変可能,,,チョクメン,チョクメン,漢,直面,チョクメン,24168
,I,する,為る,スル,動詞-非自立可能,サ行変格,連体形-一般,スル,スル,和,する,スル,19537
,I,課題,課題,カダイ,名詞-普通名詞-一般,,,カダイ,カダイ,漢,課題,カダイ,6696
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,向き合い,向き合う,ムキアウ,動詞-一般,五段-ワア行,連用形-一般,ムキアイ,ムキアイ,和,向き合う,ムキアウ,87838
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,世界,世界,セカイ,名詞-普通名詞-一般,,,セカイ,セカイ,漢,世界,セカイ,20054
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,真ん中,真ん中,マンナカ,名詞-普通名詞-一般,,,マンナカ,マンナカ,和,真ん中,マンナカ,36174
,I,で,で,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
,I,咲き誇る,咲き誇る,サキホコル,動詞-一般,五段-ラ行,連体形-一般,サキホコル,サキホコル,和,咲き誇る,サキホコル,53554
,I,日本,日本,ニッポン,名詞-固有名詞-地名-国,,,ニッポン,ニッポン,固,日本,ニッポン,28455
,I,外交,外交,ガイコウ,名詞-普通名詞-一般,,,ガイコー,ガイコウ,漢,外交,ガイコウ,7918
